
Best Saved


Epoch #68:  80%|########  | 4800/6000 [00:05<00:01, 816.61it/s, agent0/loss=8.722, env_step=406800, gradient_step=6780, len=6, n/ep=100, n/st=600, rew=2.59]
Epoch #68: 6001it [00:07, 812.99it/s, agent0/loss=8.990, env_step=408000, gradient_step=6800, len=6, n/ep=100, n/st=600, rew=2.73]



Epoch #69:  80%|########  | 4800/6000 [00:06<00:01, 800.90it/s, agent0/loss=8.595, env_step=412800, gradient_step=6880, len=6, n/ep=100, n/st=600, rew=2.98]
Epoch #69: 6001it [00:07, 792.59it/s, agent0/loss=8.509, env_step=414000, gradient_step=6900, len=6, n/ep=100, n/st=600, rew=3.17]



Epoch #70:  90%|######### | 5400/6000 [00:06<00:00, 828.20it/s, agent0/loss=8.892, env_step=419400, gradient_step=6990, len=6, n/ep=100, n/st=600, rew=2.67]
Epoch #70: 6001it [00:07, 810.77it/s, agent0/loss=8.885, env_step=420000, gradient_step=7000, len=6, n/ep=100, n/st=600, rew=2.67]



Epoch #71: 100%|##########| 6000/6000 [00:07<00:00, 808.01it/s, agent0/loss=8.356, env_step=425400, gradient_step=7090, len=6, n/ep=100, n/st=600, rew=2.67]
Epoch #71: 6001it [00:07, 788.55it/s, agent0/loss=8.401, env_step=426000, gradient_step=7100, len=6, n/ep=100, n/st=600, rew=2.48]


Epoch #72:  80%|########  | 4800/6000 [00:05<00:01, 819.79it/s, agent0/loss=8.786, env_step=430200, gradient_step=7170, len=6, n/ep=100, n/st=600, rew=3.19]
Epoch #72: 6001it [00:07, 809.29it/s, agent0/loss=9.138, env_step=432000, gradient_step=7200, len=6, n/ep=100, n/st=600, rew=2.81]



Epoch #73:  90%|######### | 5400/6000 [00:06<00:00, 832.95it/s, agent0/loss=8.491, env_step=436800, gradient_step=7280, len=6, n/ep=100, n/st=600, rew=2.94]
Epoch #73: 6001it [00:07, 822.52it/s, agent0/loss=8.338, env_step=438000, gradient_step=7300, len=6, n/ep=100, n/st=600, rew=2.90]



Epoch #74:  90%|######### | 5400/6000 [00:06<00:00, 810.66it/s, agent0/loss=8.822, env_step=443400, gradient_step=7390, len=6, n/ep=100, n/st=600, rew=2.97]
Epoch #74: 6001it [00:07, 800.46it/s, agent0/loss=8.807, env_step=444000, gradient_step=7400, len=6, n/ep=100, n/st=600, rew=2.38]


Epoch #75:  80%|########  | 4800/6000 [00:05<00:01, 919.70it/s, agent0/loss=8.613, env_step=448800, gradient_step=7480, len=6, n/ep=100, n/st=600, rew=2.90]
Epoch #75: 6001it [00:06, 920.62it/s, agent0/loss=8.556, env_step=450000, gradient_step=7500, len=6, n/ep=100, n/st=600, rew=2.85]


Epoch #76: 6001it [00:06, 863.68it/s, agent0/loss=8.961, env_step=456000, gradient_step=7600, len=6, n/ep=100, n/st=600, rew=2.38]
Epoch #77:   0%|          | 0/6000 [00:00<?, ?it/s]



Epoch #77:  90%|######### | 5400/6000 [00:06<00:00, 861.52it/s, agent0/loss=9.194, env_step=461400, gradient_step=7690, len=6, n/ep=100, n/st=600, rew=2.77]
Epoch #77: 6001it [00:06, 890.30it/s, agent0/loss=9.303, env_step=462000, gradient_step=7700, len=6, n/ep=100, n/st=600, rew=2.86]


Epoch #78:  80%|########  | 4800/6000 [00:05<00:01, 931.17it/s, agent0/loss=9.124, env_step=466800, gradient_step=7780, len=6, n/ep=100, n/st=600, rew=2.75]
Epoch #78: 6001it [00:06, 922.20it/s, agent0/loss=9.040, env_step=468000, gradient_step=7800, len=6, n/ep=100, n/st=600, rew=2.44]


Epoch #79: 6001it [00:06, 915.99it/s, agent0/loss=9.194, env_step=474000, gradient_step=7900, len=6, n/ep=100, n/st=600, rew=2.52]
Epoch #80:   0%|          | 0/6000 [00:00<?, ?it/s]



Epoch #80:  90%|######### | 5400/6000 [00:05<00:00, 884.15it/s, agent0/loss=9.052, env_step=479400, gradient_step=7990, len=6, n/ep=100, n/st=600, rew=3.06]
Epoch #80: 6001it [00:06, 903.23it/s, agent0/loss=8.951, env_step=480000, gradient_step=8000, len=6, n/ep=100, n/st=600, rew=2.45]


Epoch #81:  70%|#######   | 4200/6000 [00:05<00:02, 825.05it/s, agent0/loss=8.905, env_step=484200, gradient_step=8070, len=6, n/ep=100, n/st=600, rew=3.04]
Epoch #81: 6001it [00:06, 871.24it/s, agent0/loss=9.189, env_step=486000, gradient_step=8100, len=6, n/ep=100, n/st=600, rew=2.52]


Epoch #82:  70%|#######   | 4200/6000 [00:04<00:01, 969.32it/s, agent0/loss=9.521, env_step=489600, gradient_step=8160, len=6, n/ep=100, n/st=600, rew=2.81]
Epoch #82: 6001it [00:06, 939.62it/s, agent0/loss=9.466, env_step=492000, gradient_step=8200, len=6, n/ep=100, n/st=600, rew=2.72]



Epoch #83:  90%|######### | 5400/6000 [00:06<00:00, 868.41it/s, agent0/loss=9.121, env_step=497400, gradient_step=8290, len=6, n/ep=100, n/st=600, rew=2.78]
Epoch #83: 6001it [00:06, 889.85it/s, agent0/loss=9.164, env_step=498000, gradient_step=8300, len=6, n/ep=100, n/st=600, rew=2.83]


Epoch #84:  80%|########  | 4800/6000 [00:05<00:01, 903.92it/s, agent0/loss=9.532, env_step=502800, gradient_step=8380, len=6, n/ep=100, n/st=600, rew=2.62]
Epoch #84: 6001it [00:06, 925.86it/s, agent0/loss=9.547, env_step=504000, gradient_step=8400, len=6, n/ep=100, n/st=600, rew=2.93]


Epoch #85:  70%|#######   | 4200/6000 [00:04<00:01, 904.49it/s, agent0/loss=9.109, env_step=508200, gradient_step=8470, len=6, n/ep=100, n/st=600, rew=3.27]
Epoch #85: 6001it [00:06, 922.06it/s, agent0/loss=8.869, env_step=510000, gradient_step=8500, len=6, n/ep=100, n/st=600, rew=3.55]



Epoch #86:  90%|######### | 5400/6000 [00:05<00:00, 931.68it/s, agent0/loss=9.404, env_step=515400, gradient_step=8590, len=6, n/ep=100, n/st=600, rew=3.17]
Epoch #86: 6001it [00:06, 932.02it/s, agent0/loss=9.552, env_step=516000, gradient_step=8600, len=6, n/ep=100, n/st=600, rew=2.81]


Epoch #87:  80%|########  | 4800/6000 [00:05<00:01, 882.61it/s, agent0/loss=9.032, env_step=520800, gradient_step=8680, len=6, n/ep=100, n/st=600, rew=3.28]
